Datetime,Value,Activity
03/12/2024 19:54:00,Dinner; 1 cup masala chai and 1.5 slices toasted sourdough bread with light mozzarella cheese,Meal
03/12/2024 14:58:00,Lunch; 400 gms spicy bamboo shoot with fried tofu + black sticky rice + Thai iced tea,Meal
03/12/2024 10:58:00,Breakfast; 4 soy chunks cutlet + 1 cup masala chai,Meal
03/12/2024 9:27:00,167.6 lbs,Weight
03/12/2024 8:03:00,35 mins; indoor cycling; 275 cals,Exercise
03/11/2024 21:48:00,Dinner; 300 ml ginger tomato soup + 1.5 mozzarella sourdough toasted bread,Meal
03/11/2024 16:37:00,Afternoon Snack; Coconut yogurt with 20 gms nuts and seeds mix,Meal
03/11/2024 14:42:00,Lunch; 250 gms hand pounded brown rice + 200 gms mixed vegetable curry + 200 gms white pumpkin kootu,Meal
03/11/2024 10:46:00,Breakfast; 300 gms corn rava upma,Meal
03/11/2024 8:03:00,27 mins; indoor cycling; 180 cals,Exercise
03/10/2024 20:19:00,Dinner; 1 cup masala chai + 200 gms jowar chivda + nuts mix,Meal
03/10/2024 15:56:00,Lunch; 200 gms white basmati ghee rice + 250 gms palak daal + 300 gms mixed vegetable curry + 1/2 cucumber,Meal
03/10/2024 11:50:00,Breakfast; Kefir chia seed smoothie with 2 tbsp almond butter + 30 gms sunflower and pumpkin seeds,Meal
03/10/2024 11:24:00,165.4 lbs,Weight
03/10/2024 10:59:00,40 mins; indoor cycling; 300 cals,Exercise
03/09/2024 17:52:00,Afternoon Drink; 1 cup masala chai,Meal
03/09/2024 15:10:00,Lunch; 200 gms Mattakurnai rice + 300 gms paneer 65 + 400 ml white pumpkin mor kootu,Meal
03/09/2024 11:15:00,Breakfast; 400 ml chia seeds + goji berries in kefir smoothie,Meal
03/09/2024 9:52:00,40 mins; indoor cycling; 325 cals,Exercise
03/08/2024 17:10:00,Lunch; 400 gms basmati rice lauki kichadi with 30 gms banana chips,Meal
03/08/2024 14:28:00,Lunch; 1 cup masala chai and 100 gms jowar popcorn chivda,Meal
03/08/2024 11:49:00,165.8 lbs,Weight
03/08/2024 10:06:00,40 mins; indoor cycling; 325 cals,Exercise
03/07/2024 19:44:00,Dinner; 1 ragda patties + 100 gms Haldirams katta meetha,Meal
